Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
creamy baked potato soup,soups,6 servings,"6 md potatoes; peeled and diced	4 tb butter	4 tb flour	1 md onion; peeled and chopped	6 c  milk	1/2 ts thyme leaves	salt and pepper; to taste	1    smoked ham hock (or 1 ham bo	1 c  mashed potatoes; see note",,,,
creole christmas cake,"cakes	holiday",1 cake,"3 tb rum	3 tb brandy	3 tb cherry brandy	3 tb cointreau	3 tb water	1 1/2 ts angostura bitters	1/2 ts ground cinnamon	1/2 ts ground nutmeg	1/2 ts ground cloves	1/2 ts salt	1 1/2 ts vanilla extract	1 tb molasses sugar	225 g  sultanas	225 g  raisins	225 g  currants	100 g  stoned no-soak prunes; chopped	50 g  glace cherries; chopped	100 g  mixed candied peel	50 g  almonds; chopped	50 g  pecans; chopped	250 g  self-raising flour	250 g  demerara sugar	250 g  butter; room temperature	5 ea eggs (size 1)",,,,
crisp jalepeno cheesecake,"cakes	cheesecakes",1 servings,"1 pk graham crackers; powdered	4 tb butter	1/8 c  brown sugar	32 oz cream cheese	1/8 c  brown sugar	3/4 c  sugar	1 1/8 c  sour cream	1/4 c  flour	1 ts vanila	4    eggs; large	1/4 ts ginger	1/4 ts cinnamon	3    jalepenos; medium size	1/2 c  sour cream	1/8 c  sugar	2    eggs; large",,,,
crisp oatmeal treasures,cookies,42 cookies,"3/4 c  sifted all-purpose flour	1/2 ts soda	1/2 ts salt	1/2 c  granulated sugar	1/2 c  brown sugar, firmly packed	1/2 c  shortening; soft	1    egg	1 1/2 c  quaker oats, uncooked - (quick or old-fashioned)	1/4 c  chopped nutmeats",,,,
crock-pot fifteen-bean soup,"soups	vegetables	beans	pork",4 servings,"1 pk (20 oz) 15-bean soup mix (throw away the flavor packet!)	1 lg onion, chopped	1 ts garlic	1 ts celery salt	2    stalks chopped celery	1    bay leaf	1 ds cayenne pepper	ground pepper to taste	1 pk polska kielbasa, sliced into coins (we prefer turkey kielbasa)",,,,
chocolate cups raspberry mousse,"desserts	holiday",4 servings,"8 oz semisweet chocolate	balloons, small	2 c  raspberries;fresh or frozen you may substitute mango, strawberries or kiwi for flavour & colour changes	1/4 c  sugar	1 c  whipping cream",,,,
chocolate malt bars,"bars	chocolate",8 servings,"bars----	1 1/4 c  unbleached flour	1 ts baking powder	1/2 c  granulated sugar	1/2 c  instant malted milk powder	1 c  malted milk balls -- chopped	(i used whop	1/3 c  margarine -- softened	1    egg white -- whipped	1/4 c  skim milk -- at room	temperature	1 ts vanilla	frosting----	2 1/2 c  powdered sugar -- sifted	1/4 c  cocoa powder -- sifted	1/4 c  margarine -- softened	3 tb water	1 ts vanilla	1/3 c  malted milk balls --	chopped",,,,
chocolate meringue pie,"pies	chocolate",1 servings,"1    pie shell, 9""; baked	1/2 c  cocoa, dutch process unsweetened	1/4 c  cornstarch	1 1/2 c  sugar	1/4 ts salt	3    egg; separated	2 c  milk	2 ts vanilla (not extract)	2 tb butter	3    egg white	1/4 ts salt	1 ts vanilla (not extract)	1/4 ts cream of tartar	1 ts baking powder	2/3 c  sugar",,,,
chocolate nut brownies,"cookies	desserts",30 servings,"1    square unsweetened chocolate --=or=---	1 oz -no-melt unsweetened choc.	1/2 c  shortening	2 tb sweetener	2 ts vanilla	2    eggs; beaten	1 c  sifted all-purpose flour	1/2 ts baking soda	1/4 c  chopped nuts",,,,
chocolate orange brioches,breads,16 servings,"1/2 c  milk	1/2 c  granulated sugar	2 pk yeast	2    oranges; zested	2    eggs	4    egg yolks	3 c  all-purpose flour	2 ts salt	1 c  unsalted butter; (cold) plus	1 tb unsalted butter; (cold)	6 oz bittersweet chocolate - roughly chopped	1 c  confectioners' sugar	3 tb orange juice",,,,
chocolate pizza,desserts,20 servings,"8 oz white chocolate;divided	8 oz chocolate chips (semi-sweet)	1/2 c  peanuts-salted	1/2 c  marshmallows-mini	1/2 c  rice crispy cereal	1/2 c  coconut	1/2 c  cherries-candied-red and green",,,,
chocolate syrup,"mix recipes	chocolate",32 servings from the taste of colorado - colorado state grange,"1/3 c  corn syrup	1/2 c  baking cocoa	6 tb water	1 1/2 c  sugar	1/2 ts salt	1 c  milk	3 tb butter	1/2 ts vanilla extract",,,,
emerald isle cooler,"cocktails	irish",1 servings,"5 oz vanilla ice cream	1 fl green creme de menthe	1 fl irish whiskey	8 fl club soda",,,,
emerils creole sesoning,spices,1 cup,"2 1/2 tb paprika	2 tb salt	2 tb garlic powder	1 tb black pepper	1 tb onion powder	1 tb cayenne	1 tb dried oregano	1 tb dried thyme",,,,
end-of-month vegetable soup,soups,6 servings,"1/2    chinese cabbage	1/2    carrot	1/2    red bell pepper	1    yellow onion	4 sm potatoes	1/8 lb bacon pieces (for seasoning)	4    prosciutto end bits (for seasoning, optional)	5    stalks celery	1    bouquet garni (e.g., about 1 t each parsley and thyme, 1 or 2 bay leaves)	2    chicken or beef bouillon cubes	2    garlic cloves	pepper (to taste)	1 c  white wine (optional)",,,,
english crumpets bakestone recipes,"bakery	breads	breakfast	snacks",4 servings,"4 oz all-purpose flour	4 oz bread flour	2 ts salt	1/4 oz fresh yeast	1 ts sugar	1/2 pt warm water	1 tb vegetable oil	1/2 ts bicarbonate of soda	1/4 pt warm water",,,,
ensalada de jicama y naranja jicama  oran,"appetizers	nicaragua	upload",6 servings,"juice of 2 limes	1/4 ts chile powder, habanero	2 sm oranges; cut in segments	1 sm jicama; juilenne cut	3    scallions; thinly sliced	cilantro; chopped",,,,
entlebuch woodland slices luzern,"snacks	mushrooms	ham	cheese	swiss",5 servings,"5 sl brown bread; toasted	150 g  raw smoked ham; sliced  such as parma ham	250 g  emmental cheese; sliced	400 g  mushrooms in season	1    shallot; chopped	40 g  butter	20 g  flour	1 dl dry white wine	1 dl brown stock	1 dl cream	marjoram	salt	pepper; freshly ground	parsley; chopped	5    unpeeled pears, poached in  syrup	25  g   = 1 oz.	1   dl  = 3.5 fl. oz.	2.5 dl  = 1 cup",,,,
extra-easy lasagna,"pasta	main dish",8 servings,"3/4 lb ground beef	3 c  prego traditional spaghetti sauce	15 oz ricotta cheese	8 oz shredded mozzarella cheese	6    uncooked lasagna noodles	1/4 c  water",,,,
falafel,vegetarian,10 servings,"2 c  chickpeas, cooked	1/2 c  parsley	1/4 c  tahini	2    garlic cloves, minced	1/4 c  dried milk	1    beaten egg	1/2 ts dry mustard	1 ts cumin	1/2 ts chili powder	celery salt to taste	salt & pepper to taste	1 ts soy sauce	oil as needed",,,,
family-style beef brisket dinner,"main dish	easy",8 servings,"1    envelope lipton recipe secrets onion soup mix	3/4 c  water	3 lb brisket of beef	1 lb potatoes, cut into chunks	1/2 lb carrots, peeled and cut into chunks",,,,
fast dish catfish,"fish	main dish	time-saver",4 servings,"4    catfish fillets	1 tb butter or margarine; melted	2 tb lemon juice; divided	1 ts dill weed; divided	1/2 ts salt	1 sm zucchini; cut into - ribbon-like strips	1    carrot; cut into - ribbon-like strips	1 tb mayonnaise	1 pk rice pilaf mix - (4.3 to 7.2 oz.) - prepared according to - package directions",,,,
fast five curried chicken legs,"poultry etc	main dish",4 servings,"4    chicken legs	1 tb curry powder	1/3 c  plain yogurt	2 tb lemon juice	1 ts packed brown sugar",,,,
fat free marshmallow treats,snacks,16 servings,"10 oz marshmallows	3 tb molly mcbutter butter flavor sprinkles	6 c  rice cereal	1 c  raisins",,,,
festive frozen mint pie,"pies	desserts",1 pie,"1    (6oz) ready-made nabisco	oreo pie crust	1 cn (14oz) sweetened condensed	milk (not evaporated milk)	1 ts (to 1 1/2t) peppermint	extract	10    (to 12) drops green food	coloring, optional	2 c  (1pt) whipping cream, or hipped topping",,,,
homemade teriyaki marinade,"oriental	sauces and	ceideburg 2",1 servings,"1 c  brown sugar	1 c  soy sauce	1 c  sake --  see note	fresh ginger root -- grated	garlic cloves --	diced/pressed",,,,
honey baked apples,"dessert	apple	fruit",6 servings,"6 lg baking apples	3 tb walnuts; chopped	3 tb raisins	1 c  ;water	1/3 c  honey	1 ea 3-inch stick cinnamon	1 tb lemon juice",,,,
honey popcorn balls,snacks,12 balls,"1 1/2 qt unbuttered popped corn, salted	1/2 c  brown sugar	1/2 c  granulated sugar	1/4 c  honey	1/3 c  water	1 tb butter",,,,
honey raisin bars,cookies,6 servings,"1 c  sugar	3/4 c  shortening	2    eggs, well beaten	2 tb honey	3 tb water	3 sl pineapple	1 c  raisins	3/4 c  bran	2 1/2 c  flour	2 ts baking powder	1/2 ts salt	2 ts vanilla",,,,
honey wheat eleven grain cinnamon raisin brea,"breadmakers	breads",1 loaf,"1 1/2 c  white bread flour	1 1/2 c  whole wheat flour	3 tb gluten flour	1    egg	1 tb sugar	2 tb honey	2 tb butter/margarine	1 1/2 c  water	4 tb water	1 ts salt	1 ts yeast	4 tb ten grain mix from grocery	or health food store	1 tb poppy seeds	1 tb sesame seeds	1/2 ts ginger	1 ts cinnamon	1 c  raisins (alternately, 1/2 c	golden, 1/2 c regular)",,,,
hot italian loaf,main dish,4 servings,"2    eggs	1/4 c  ketchup	1 ts dried basil	1 ts leaf oregano	2    crushed garlic cloves	3/4 c  fine dry bread crumbs	1 lb medium ground beef	1 lb hot italian sausage	1/2 c  grated mozzarella cheese",,,,
hot pineapple punch,"beverages	alcohol",9 servings,"1 cn 46-oz unsweetened pineapple	1/2 c  sugar	1/4 c  lime juice	1/4 ts ground nutmeg	3 1/4 c  dry white wine	1 x  cinnamon sticks	1 x  fresh pineapple",,,,
hot chocolate,"chocolate	beverages",2 servings,"1 pt milk	3 oz imported chocolate (milk	chocolate or semi-sweet)",,,,
vegetable rice com voi rau,"rice	vietnamese",1 servings,"2 c  short-grain rice -- washed	and drained	2 tb vegetable oil	1 lb pak-choy (chinese cabbage)	cut crosswise in 1-inch	pieces	salt	2 1/2    to 3 cups water",,,,
egg punch,"beverages	alcohol",20 servings,"dwigans fwds07a	2    16 oz cans evaporated milk	4 c  water	sugar to taste	3 sm cinnamon sticks	1 1/2 ts ground nutmeg	4    egg yolks -- well beaten	2 c  vodka",,,,
nahit rice,"jewish	vegetables",4 servings,"3/4 c  chickpeas	1/2 c  raw rice	1 ts salt	2 c  boiling water	1/2 c  honey",,,,
red yellow pepper tart,"appetizers	vegetarian	guestchefs",6 servings,"1    recipe savory tart dough	3 md bell pepper	2 lg -bell peppers -- mixed	but preferably -- red and ellow	4 tb olive oil	1 sm red onion; quartered --	sliced thinly crossw	2    garlic cloves -- minced	salt	1/4 c  water or white wine	pepper	1 c  basil leaves -- loosely	packed	and roughly chopped	2 tb parmesan or romano cheese --	(grated)	2    whole eggs -- plus	2    egg yolks	1 1/2 c  light cream	1 c  provolone cheese -- grated	20    black nicoise olives --	pitted",,,,
salmon-and-olives tartar,"seafood	guestchefs",4 servings,"1 lb fresh salmon	1/2 c  black greek olives -- such	as calamata, itted and chopped	2 tb chopped fresh oregano	2 tb minced shallots	1 tb chopped parsley	3 tb fresh lemon juice	2 tb olive oil	4    lemon wedges	8 sl toast",,,,
broiled chicken breast tarragon,poultry,2 servings,"2 ea chicken breast halves, skinned and boned	1/2 ts salt	1/4 ts pepper	1 tb mayonnaise or salad dressing	1 ts dried whole tarragon,crushed	1 ts dijon mustard",,,,
mamas apple jelly,"dips/spread	can/preserv",24 ounces,"4 lb tart apples	4 c  water	sugar",,,,
italian sausage tortellini soup,"italian	sausage",6 servings,"1 lb sweet italian sausage or arrot -- thinly sliced	chorizo sausage -- casings	1 md green bell pepper -- diced	removed	1/2 c  dry red wine (op.)	1 c  chopped onion	2 tb dried basil	2 lg garlic cloves -- sliced	2 tb dried oregano	5 c  beef stock or canned broth	8    to 10 ounces purchased	2 c  chopped tomatoes (about 3/4	fresh cheese tortelli	parmesan cheese -- freshly	1 cn (8-oz) can tomato sauce	grated	1 lg zucchini -- sliced",,,,
varza acra calita braised sauerkraut,"vegetables	romanian",1 servings,"1/2 lb bacon, cut in small pieces	1 c  onion, minced	1 cn no.3 can sauerkraut	1 c  water",,,,
three pepper pizza,"pizza	italian",6 servings,"1 c  each of red,yellow and green peppers,cut into 1/2"" pieces	2 tb garlic olive oil,plus more as needed	8    mushrooms,sliced	pizza dough with oregano	oil and cornmeal for pan	1 c  mozzarella cheese,grated	3/4 c  pizza sauce with oregano	1/3 c  black olives,sliced	1/2 c  parmesan cheese,freshly grated",,,,
cashew cookies,cake/cookie,3 servings,"1 1/2    sticks of margarine	2/3 c  sugar	1 tb vanilla	1 1/2 c  flour	1/2 c  crushed potato chips",,,,
blueberry oatmeal bread,"breadmaker	tested	potluck",24 servings,"1/2 tb yeast	3 c  flour, bread	1 c  oats	1/2 tb salt	1 tb sugar	1 tb butter	16 oz blueberries, canned; measure	1 5/8 c  -blueberries & juice",,,,
bobbies mushroom  spinach fajitas,"low fat	vegetarian	vegetables",2 servings,2 tb olive oil,,,,
bologna  cheesewitch,kids,6 servings,"1 lb bologna	3/4 lb swiss cheese	1 tb india relish	4 tb chopped onion	1/4 c  prepared mustard	1/3 c  mayonnaise	6    whole hotdop rolls	6 tb butter",,,,
border tartscottish,"cakes	scottish",4 servings,"8 oz shortcrust pastry	2 oz butter	2 oz dark soft brown sugar	1    egg, beaten	5 oz mixed dried fruit	1 oz walnuts, chopped	1 oz glace cherries, chopped	for decoration	4 oz icing sugar	1 tb water",,,,
boston bean salad t,"digest	july	salads",1 servings,"1    15 oz can navy beans, rained and rinsed	1    15 oz can red beans, drained	and rinsed	1    15 oz can black beans, rained and rinsed	2    stalks celery, sliced (about	1    cup)	1/2 c  thinly sliced green onion	1/2 c  vinegar [or more]	1/4 c  molasses	1 tb dijon-style mustard	1/4 ts pepper	2 c  torn curly endive",,,,
boston bullet,cocktails,1 servings,"2 fl gin	1/2 fl dry vermouth",,,,
bread dumplings sourdough,"bohemian	breads	side dish",1 servings,"2 c  sourdough batter; proofed	1 c  milk	3 lg eggs	6 c  flour, all-purpose	2 tb baking powder	1 1/2 ts salt	6    toast slices; cut in cubes",,,,
breton apple tart,"desserts	pies	fruits/nuts",10 servings,"2 lb golden delicious apples	1/2 c  sugar	3 tb butter	2 tb lemon juice	2 tb dark rum	1 c  butter	1 c  sugar	1 ts vanilla extract	1 tb dark rum, optional	4    egg yolks	2 3/4 c  all-purpose flour	1/2 c  light brown sugar	1/4 c  butter	1/3 c  honey	2 c  walnut pieces  coarsely chopped",,,,
watermelon fruit bowl,"desserts	fruits	low-fat	jell-o	diabetic",16 servings,"2 pk (8 serving size each) or 4	4 c  cold water pk. (4-serving size each)          1 c  each watermelon balls, jell-o brand watermelon                 -honeydew and/or cantaloupe flavor sugar free gelatin               -melon balls, sliced bananas or any other flavor                     -and strawberries	4 c  boiling water	watermelon bowl  (see below)",,,,
light milk whip,"diabetic	desserts	low-fat/cal",3 cups,"1/2 c  low-fat evaporated milk	1/2 ts lemon juice	1 1/2 tb frozen apple juice concentra	1/2 ts vanilla extract te",,,,
broccoli garlic mayonnaise,"diabetic	side dishes	vegetables",6 servings,"1/2 c  mayonnaise	2 md garlic cloves; cruched =or                            1 1/2 lb broccoli;	1/2 c  salad dressing:	paprika",,,,
savory carrot casserole,"diabetic	side dishes	vegetables	casseroles",4 sweet ones,"3 c  carrots; shredded (about	1/4 ts mustard; dry 6 medium                         1/2 c  hot water;	1 sm onion; chopped	1/4 c  walnuts; chopped coarsely	1/2 ts salt;	1 tb margarine or butter;	1/2 ts savory leaves; dried",,,,
baked orange slices,"diabetic	fruits	desserts	kids	big kids",8 - 12 slice,"1/2 c  orange juice;	1 ds cinnamon;	1/2 c  apple juice;	1 ds nutmeg;	2 tb honey;	2    or 3 oranges;	1/4 c  raisins;",,,,
bacon drop,"master mix	biscuits	jewel",9 to 10 biscuits,"1 1/2 c  bake it all mix	1/2 c  milk	2    or 3 strips bacon",,,,
bacon lettuce turkey log,sandwiches,4 servings,"1    14 inch middle-eastern	cracker bread round (called	la vosh)	2 oz neufchatel cheese at room	temperature	2 sm slices lean bacon, cooked	crisp and drained on paper	towel	2 tb each finely chopped celery	and green onion	2 oz thinly sliced, cooked turkey	1/4    ripe avocado, peeled and hopped	2 tb lemon juice	several leaves of romaine	lettuce, hard core removed	freshly ground pepper",,,,
baked apple maple yogurt sauce,fruits/nuts,4 servings,"4    apples	1/3 c  brown sugar, packed	1/4 c  raisins	2 ts cinnamon	1/2 ts nutmeg	1/3 c  yogurt, low-fat	1/4 c  maple syrup",,,,
baked cod on bed of peppers,seafood,1 servings,"1 tb olive oil	1 sm onion, halved and slivered	1 sm red bell pepper, cored, seeded and cut into 1/4"" dice	1    garlic clove, finely minced	pn ground allspice	salt to taste	black pepper to taste	1/4 c  pitted black olives, chopped	1 1/2 tb chopped parsley	2 tb fresh lemon juice	1/4 lb piece of cod or halibut (1"" thick), bones removed",,,,
baked halibut stewed tomatoes,"seafood	vegetables",6 servings,"1 tb butter	2    onions, sliced	1 1/2 c  canned plum tomatoes-	(including juice)	1/2 ts each salt and pepper	1 1/2 lb halibut steaks	1 tb chopped fresh basil or about	1 tsp. dried",,,,
baked samosas abm,"main dish	kooknet	cyberealm",8 servings,"1/2 c  evaporated milk; plus	2 tb evaporated milk; (if needed)	3 tb unsalted butter	2 ts sugar	3/4 ts salt	2 1/2 ts yeast	3 c  flour	1 md idaho potatoes; cut into 1/2"" chunks	1 c  frozen peas	2 tb oil	2    clove garlic; finely chopped	2 ts fresh ginger; finely chopped	1 ts dried coriander	1/2 ts cumin	1/4 ts pepper	1/4 ts salt	1    egg; beaten with	1 tb water",,,,
baked stuffed clams pat stockett,fish/shellf,4 servings,"12    chowder clams	1/4 c  butter	1 c  fine dry breadcrumbs	1 ts parsley flakes	1/4 ts lemon & pepper seasoning	1/8 ts garlic powder	1/8 ts oregano	few drops of hot sauce	paprika	old bay seasoning (or any	crab spice)",,,,
bakers oven,meats,2 servings,"15 oz lamb shoulder	1    bayleaf	4    juniper berries	4    black pepper corns	2 1/8 c  white wine	6    onions, medium size	8    potatoes, medium,cooked	3 1/2 oz butter	3 c  wine, white,dry and cold",,,,
triple-rich chocolate squares,desserts,1 pan,"14    chocolate sandwich cookies	2 pk (8oz each) cream cheese, oftened	1/2 c  granulated sugar	1/3 c  chocolate drink powder	2 tb all-purpose flour	3    large eggs, at room temp.	1 ts vanilla extract	1/4 c  semisweet chocolate chips	1 1/2 ts solid vegetable shortening",,,,
tropic sun spareribs,pork,4 servings,"4 lb spareribs, or country-style  pork ribs	3 lg cloves garic, pressed	1 lg can (20-oz.) dole crushed  pineapple, undrained	1 lg onion	1    bottle (12-oz.) chili sauce	1/2 c  brown sugar, packed	1 ts ground giner	1/2 ts dry mustard",,,,
trout amandine,fish,2 servings,"2    dressed freshwater trout	1/4 c  all-purpose flour	1/2 ts salt	1/4 ts pepper	3 tb clarified butter; divided	1 tb lemon juice	2 tb slivered almonds	lemon slices	chopped fresh parsley",,,,
turkari palaak molee,"india	curries	lamb	meats	chicken",6 servings,"2 tb oil or ghee	2 md onions, liced thinly	6 cl garlic, crushed	2    inch piece fresh ginger, inely chopped	1 1/2 ts turmeric	2 ts chilli powder	1/2 ts ground black pepper	1/2 ts ground fenugreek	2 ts ground coriander	1 ts ground cumin	2 ts hot paprika	1 kg lean diced lamb, 2.2 lb)or chicken	800 ml coconut cream	(1 qt)	1 1/2 ts salt	2    curry leaves	(optional)	1 pk frozen chopped spinach",,,,
turkey red reubens sandwich,poultry,1 servings,"1 tb mayonnaise or salad	dressing	2 sl rye bread	2 oz thinly sliced cooked turkey	breast	1/3 c  canned shredded sweet and our red -	cabbage -- drained	1 1/2 oz sliced monterey jack cheese",,,,
turkey spaghetti sauce,"poultry	sauces",6 servings,"1/4 c  chopped onion	1    garlic clove, minced	1 ts olive oil	28 oz can tomatoes, cut up	6 oz can tomato paste	1 ts dried basil	1 ts dried thyme	3 c  chopped cooked turkey	cooked noodles or macaroni",,,,
turkey-bean casserole,"casseroles	poultry",6 servings,"2    turkey drumsticks(2.75lb)	1 c  onion,chopped	1/2 ts salt	2 cn white beans(16oz)	4    smoky link sausages,halved	1 1/4 c  water	1    bay leaf	1/2 ts thyme	1/4 c  tomato paste",,,,
turkish lamb\clay cooker,"clay cooker	lamb",4 servings,"1 1/2 lb cut-up green beans	2    large onions, sliced	1    large idaho potato, peeled	and sliced	4    large peeled tomatoes	1 lb lamb, cubed	salt, caraway seeds	1    clove of garlic	1    bouillon cube",,,,
two minute velvet fudge,"candies	desserts",1 servings,"12 oz milk chocolate chips	6 oz semisweet chocolate	1 cn sweet condensed milk (14 oz)	1/3 c  confectioners sugar	1 ts vanilla	1 c  chopped nuts",,,,
uncle shel badlands bushwaker sauce,"sauces	barbecue	seasonings",1 servings,"1 tb orange-habanero-chipotle oil	(follwing)	1/2 c  onion -- chopped	1/2 ts garlic -- fine chop	32 oz tomato sauce	1 c  lightly packed brown sugar	1/4 c  cider vinegar +	1 tb cider vinegar	1/4 c  wrights liquid smoke	2 ts honey	3 tb jack daniels or other burbon	2 ts juice of lemon or lime	1 ts whole white peppercorns	1 ts whole black pepper corns	1 ts whole corriander seeds	1/2 ts whole cumin seed	1/8 ts whole fennel seed	4 sm dried chipotles	1    ancho stemmed but with	seeds	20    chilpectin or wild piquin	pods	1    clove garlic	1/4 ts dried habanero -- ground	2 ts hot or sweet hungarian	paprika	1/2 ts cayenne",,,,
unicorns pumpkin cheesecake,"miamiherald	desserts	cheesecakes",20 servings,"crumb crust	2 3/4 lb cream cheese; softened	1 lb fructose (fruit sugar)	5 tb all-purpose flour	1/4 ts salt	1/2 ts vanilla	1 ts nutmeg	1 tb cinnamon	2 tb butter	6 lg eggs	1 lb pureed pumpkin	1 c  heavy cream",,,,
time to wind down menu  recipes,appetizers,6 servings,"3 qt water	3 lb white onions, 1 inch in diameter & unpeeled	1 1/2 c  sherry syrup vinegar or 1/2 cup brand & 1 cup red wine vinegar 9	tbsp olive oil	6 tb brown sugar	1 ts salt	1/2 ts freshly ground pepper",,,,
tiramisu mornod,"desserts	italian",1 servings,"2    eggs; separated	1/4 c  sugar	1/2 c  mascarpone & 2 tbsp	1/2 c  cheese; cottage & 2 tbsp -	1 ts lemon zest or vanilla	salt	24    ladyfingers (italian are bes	coffee mixture:	1 c  coffee; very strong	2 tb liquor or almond extract	2 tb sugar	2 ts cocoa powder",,,,
toffee nut slice,"desserts	christmas",30 servings,"pastry: -	3 oz butter	2 tb sugar	1/2 ts vanilla	3/4 c  plain flour	topping: -	1 oz butter	1/2 c  sugar	1/3 c  slivered almonds	1 1/2 tb cream	1 1/2 tb plain flour	4 oz dark chocolate	1 oz solid white vegetable-	shortening",,,,
tom moores irish stew casserole,"irish	lamb	stews	casseroles",2 servings,"1 lb lean lamb, the shoulder or leg, cut into 1"" dice	2    potatoes, peeled and thinly sliced	1    onion, thinly sliced	pn [generous] rosemary	chicken or lamb stock	salt, pepper to taste",,,,
tomato ginger jam cl,"vegetables	relishes",about 1 cup,"1 sm onion; finely chopped	1 tb peanut oil	1 cl garlic; minced	1 tb grated fresh ginger root	4    ripe plum tomatoes; chopped	1 tb sugar	1 tb rice wine vinegar	2 ts finely chopped lemongrass	1 tb finely chopped basil	1 tb finely chopped mint	1 tb fresh lime juice	1 tb fresh lemon juice",,,,
tomato pot roast,meats,6 servings,"2 1/2 lb chuck or rump (elk or deer)	1 tb margarine or butter	2 c  tomato juice	1 tb salt	1    clove garlic	4    medium potatoes	6    carrots",,,,
tomato soup pasta,"soups/stews	ethnic	appetizers	vegetarian	pasta",4 servings,"3 tb olive oil	1 sm onion, chopped	1 lb tomatoes, chopped	1 ea carrot, sliced	1 ea celery stick, sliced	1 ts salt	1/2 ts black pepper	1 ts basil	3 pt stock	1 c  small pasta/broken vermicell	1 tb chopped parsley",,,,
traditional english mustard,spreads,12 servings,"water	dry mustard powder",,,,
traditional scotch broth,"soups/stews	ethnic	lamb",6 servings,"1 lb neck of mutton or boiling beef	2 qt cold water	1 ts salt	2 tb pearl barley	2 tb yellow split peas	2 tb dried green peas	2 md size carrots	2    leeks	3 tb diced rutabaga	1 md onion	1/2 sm cabbage	1 ts finely chopped parsley",,,,
triple cheese poppyseed noodles,"main dish	pasta	cheese",5 servings,"8 oz wide egg noodles	1/2 c  ricotta cheese (part skim)	1/2 c  plain yogurt	1/2 c  cottage cheese	2 oz jar chopped pimiento	1 x  clove garlic, finely minced	1 tb poppyseed	1/2 ts hot pepper sauce	1/2 ts black pepper	1/2 c  grated cheddar cheese (2 oz)	1 ds paprika",,,,
giant overnight cinnamon rolls,"breads	my book	posted/mm",6 giants,"1 pk pillsbury hot roll mix	2 tb sugar	1 c  water; heated to 120-130	2 tb butter or margarine; soft	1    egg	1/4 c  butter or margerine; soft	1/2 c  sugar	1 ts cinnamon	1/2 c  raisins	1/4 c  finely chopped nuts	1 1/2 c  powdered sugar	1 tb butter or margarine; soft	2 tb 2-3 tb milk	1/2 ts vanilla",,,,
glaze,"breads	crocker",1 servings,"1/2 c  powdered sugar	1/4 ts vanilla	1 ts or 2 milk",,,,
glazed figs gourmet,fruits,24 figs,"24    california dried figs	3 c  cold water	1/4 c  cider vinegar	1 ts whole cloves	1 c  california brandy or water & brandy flavoring	1 tb white corn syrup	24    lightly browned almonds",,,,
glazed oranges,fruits,1 servings,"3 md oranges	2 tb butter	1/4 c  light corn syrup	1 tb honey",,,,
glazed strawberry lemon muffins,"breads	muffins",12 muffins,"1 1/2 c  flour	2 ts baking powder	1/4 ts salt	1/2 c  butter, melted	1 ts lemon peel, grated	1/2 c  sugar	1 1/2 ts cinnamon	1/2 c  milk	1    egg	1 1/2 c  strawberries, fresh, cut in small pieces	1/2 c  pecans, chopped	1/4 c  flour	1 1/2 ts lemon peel, grated	1/2 c  brown sugar	1 1/2 ts cinnamon	2 tb butter, melted	1/2 c  powdered sugar	1 tb lemon juice",,,,
goblin good gorp,"appetizers	misc",5 cups,"2 c  peanuts	1 c  bite-sized chocolate sandwich cookies	1 c  candy corn	1/2 c  goldfish crackers	1/2 c  raisins",,,,
graham wafer crust,pies,1 servings,"16    graham crackers; 1 1/2 c	1/2 c  sugar	1/2 c  butter;softened	1 ts flour	1 ts cinnamon; optional",,,,
carolina deviled sea food,seafood,8 servings,"1 lb shrimp	1 ts worcestershire sauce/taste	1/2 lb crab meat, fresh -- flaked	1 ea onion -- chopped	1/2 pt scallops -- fresh	1 c  celery -- chopped	1 pt oysters -- small	1 c  potatoes -- cooked and ashed	1 ea green pepper -- chopped	1 c  canned tomatoes	2 ea eggs -- beaten	cracker crumbs to cover	salt to taste	1/4 c  butter or more	1/4 ts red pepper or to taste",,,,
carrot chowder,"crs	totest	post	chopmeat",8 servings,"1 lb ground beef, browned and rained	1/2 c  chopped celery	1/2 c  chopped onion	1 c  chopped green pepper	2 1/2 c  grated carrots	1 cn (32oz) tomato juice	2 cn cream of celery soup	1 1/2 c  water	1/2 ts garlic salt	1/2 ts marjoram	1 ts sugar	1/2 ts salt	shredded montery jack	cheese",,,,
carrot kugel,"passover	side dish	vegetables",8 servings,"4    eggs; separated	1/2 c  sugar	1 c  tightly packed grated carrot	1/4 c  shredded;peeled apple	1/4 c  sweet red wine	2 tb lemon juice	1/2 ts grated lemon rind	1/3 c  potato starch grease for the casserole",,,,
catfish oregon hazelnuts,"main dish	fish",4 servings,"1/2 c  cornmeal	1/4 c  all-purpose flour	1/4 c  finely ground hazelnuts (roasted oregon hazelnuts)	1 ts salt	1/2 ts cayenne pepper	1/4 ts ground cumin	4    catfish fillets (6 oz. ea.)	1/4 c  olive oil	2 tb coarsely chopped hazelnuts (roasted oregon hazelnuts)",,,,
